Trench ,Unit,Context,Taxon,Element,Mass (g),Count,L/W,Burnt/Not Burnt,Cutmark/No Cutmark,Recorder,NOTES,Date
A,SW4,7,UNID,Scapula,0.4,1,NA,N,CM,HVV,,13-Jul-12
A,SW4,7,UNID,Vertebra,0.6,2,NA,N,CM,HVV,,13-Jul-12
A,SW4,7,UNID,Calcaneus,1.8,1,NA,N,N,HVV,,13-Jul-12
A,SW4,7,UNID,Phalanx,0.9,3,NA,N,N,HVV,,13-Jul-12
A,SW4,7,UNID,Metapodial,0,1,NA,N,N,HVV,,13-Jul-12
A,SW4,7,Macaque sp.,Molar,0.3,1,NA,N,N,HVV,,13-Jul-12
A,SW4,7,UNID,Mandible,0,1,NA,N,N,HVV,,13-Jul-12
A,SW4,7,UNID,Cd. Vertebra,0.6,1,NA,N,N,HVV,,13-Jul-12
A,SW4,7,Varanus sp.,Vertebra,0.5,1,NA,N,N,HVV,,13-Jul-12
A,SW4,7,Chelonians ,Carapace,5.6,7,NA,N,N,HVV,,13-Jul-12
A,SW4,7,UNID,Unknown,11.9,45,NA,N,N,HVV,,13-Jul-12
A,SW4,7,UNID,Unknown,1.1,1,NA,B,N,HVV,,13-Jul-12
A,SW4,7,UNID,Tibia,0.5,1,NA,N,N,HVV,,13-Jul-12
A,SW4,7,UNID,Skull Fragment ,0.3,3,NA,N,N,HVV,,13-Jul-12
Trench ,Unit,Context,Taxon,Element,Mass (g),Count,L/W,Burnt/Not Burnt,Cutmark/No Cutmark,Recorder,NOTES,Date
A,SW5,9,UNID,Unknown,57.6,90,NA,N,N,CC,,16-Jul-12
A,SW5,9,UNID,Calcaneus,7.2,3,NA,N,N,CC,,16-Jul-12
A,SW5,9,UNID,Cd. Vertebra,1.9,3,NA,N,N,CC,,16-Jul-12
A,SW5,9,UNID,Rib,1,3,NA,N,N,CC,,16-Jul-12
A,SW5,9,UNID,Vertebra,6.3,5,NA,N,N,CC,,16-Jul-12
A,SW5,9,UNID,Phalanx,0.5,1,NA,N,N,CC,,16-Jul-12
A,SW5,9,Chelonians ,Carapace,14.9,17,NA,N,N,CC,,16-Jul-12
A,SW5,9,Varanus sp.,Vertebra,16.2,7,NA,N,N,CC,,16-Jul-12
A,SW5,9,UNID,Tibia,11.9,2,NA,N,N,CC,,16-Jul-12
A,SW5,9,UNID,Femur,4.1,4,NA,N,N,CC,,16-Jul-12
A,SW5,9,UNID,Mandible,1.7,1,NA,N,N,CC,,16-Jul-12
A,SW5,9,UNID,Innominate,1.1,1,NA,N,N,CC,,16-Jul-12
A,SW5,9,UNID,Skull Fragment ,0.9,2,NA,N,N,CC,,16-Jul-12
A,SW5,9,UNID,Incisor,1.1,1,NA,N,N,CC,,16-Jul-12
A,SW5,9,UNID,Molar,0.7,1,NA,N,N,CC,,16-Jul-12
A,SW5,9,UNID,Metapodial,0.9,3,NA,N,N,CC,,16-Jul-12
A,SW5,9,UNID,Scapula,2.3,2,NA,N,N,CC,,16-Jul-12
A,SW5,9,UNID,Unknown,10.7,17,NA,B,N,CC,,16-Jul-12
Trench ,Unit,Context,Taxon,Element,Mass (g),Count,L/W,Burnt/Not Burnt,Cutmark/No Cutmark,Recorder,NOTES,Date
A,SW6,12,Chelonians ,Carapace,2.2,3,NA,B,N,HVV,,17-Jul-12
A,SW6,12,Chelonians ,Carapace,3.9,7,NA,N,N,HVV,,17-Jul-12
A,SW6,12,UNID,Mandible,2.4,2,NA,N,N,HVV,,17-Jul-12
A,SW6,12,UNID,Unknown,13.8,21,NA,N,N,HVV,,17-Jul-12
A,SW6,12,UNID,Tibia,13,5,NA,N,N,HVV,,17-Jul-12
A,SW6,12,UNID,Rib,3.4,4,NA,N,N,HVV,,17-Jul-12
A,SW6,12,UNID,Humerus,2.5,1,NA,N,N,HVV,,17-Jul-12
A,SW6,12,UNID,Femur,8.6,3,NA,N,N,HVV,,17-Jul-12
A,SW6,12,Varanus sp.,Vertebra,10.3,6,NA,N,N,HVV,,17-Jul-12
A,SW6,12,UNID,Teeth,1.3,2,NA,N,N,HVV,,17-Jul-12
A,SW6,12,UNID,Vertebra,10,9,NA,N,N,HVV,,17-Jul-12
Trench ,Unit,Context,Taxon,Element,Mass (g),Count,L/W,Burnt/Not Burnt,Cutmark/No Cutmark,Recorder,NOTES,Date
A,SW6,13,Chelonians ,Carapace,2.5,1,NA,N,N,HVV,,17-Jul-12
A,SW6,13,UNID,Rib,0,1,NA,N,N,HVV,,17-Jul-12
A,SW6,13,UNID,Metapodial,2.1,1,NA,N,N,HVV,,17-Jul-12
A,SW6,13,UNID,Humerus,4.7,1,NA,N,N,HVV,,17-Jul-12
A,SW6,13,UNID,Unknown,2.1,3,NA,N,N,HVV,,17-Jul-12
A,SW6,13,UNID,Unknown,0.3,1,NA,B,N,HVV,,17-Jul-12
Trench ,Unit,Context,Taxon,Element,Mass (g),Count,L/W,Burnt/Not Burnt,Cutmark/No Cutmark,Recorder,NOTES,Date
A,SW7,14,Chelonians ,Carapace,11,13,NA,N,N,CC,,23-Jul-12
A,SW7,14,UNID,Innominate,0.8,2,NA,N,N,CC,,23-Jul-12
A,SW7,14,UNID,Petrous Pyramid,1.3,1,NA,N,N,CC,,23-Jul-12
A,SW7,14,UNID,Vertebra,7,3,NA,N,N,CC,,23-Jul-12
A,SW7,14,UNID,Humerus,4.6,2,NA,N,N,CC,,23-Jul-12
A,SW7,14,UNID,Ulna,0.9,1,NA,N,N,CC,,23-Jul-12
A,SW7,14,UNID,Metapodial,2.8,3,NA,N,N,CC,,23-Jul-12
A,SW7,14,UNID,Scapula,0,1,NA,N,N,CC,,23-Jul-12
A,SW7,14,UNID,Femur,0.4,1,NA,N,N,CC,,23-Jul-12
A,SW7,14,UNID,Incisor,0.3,1,NA,N,N,CC,,23-Jul-12
A,SW7,14,Varanus sp.,Vertebra,1.1,1,NA,N,N,CC,,23-Jul-12
A,SW7,14,Varanus sp.,Mandible,0,1,NA,N,N,CC,,23-Jul-12
A,SW7,14,Chelonians ,Humerus,1.4,1,NA,N,N,CC,,23-Jul-12
A,SW7,14,Chelonians ,Femur,1.5,1,NA,N,N,CC,,23-Jul-12
A,SW7,14,Chelonians ,Carapace,2.1,4,NA,B,N,CC,,23-Jul-12
A,SW7,14,UNID,Scapula,0.4,1,NA,B,N,CC,,23-Jul-12
A,SW7,14,UNID,3 Phalanx,9.4,1,NA,B,N,CC,100-0287/0286/0285/0284/0283/0282,23-Jul-12
A,SW7,14,UNID,Unknown,2,8,NA,B,N,CC,,23-Jul-12
A,SW7,14,UNID,Unknown,31.6,61,NA,N,N,CC,,23-Jul-12
Trench ,Unit,Context,Taxon,Element,Mass (g),Count,L/W,Burnt/Not Burnt,Cutmark/No Cutmark,Recorder,NOTES,Date
A,SW8,14,Varanus sp.,Vertebra,17,10,NA,N,N,CC,,21-Jul-12
A,SW8,14,Primate,Vertebra,4.6,1,NA,N,N,CC,,21-Jul-12
A,SW8,14,UNID,Cd. Vertebra,1,1,NA,N,N,CC,,21-Jul-12
A,SW8,14,UNID,Metapodial,3.1,1,NA,N,N,CC,,21-Jul-12
A,SW8,14,UNID,Scapula,0.5,1,NA,N,N,CC,,21-Jul-12
A,SW8,14,Chelonians ,Carapace,1.7,3,NA,N,N,CC,,21-Jul-12
A,SW8,14,UNID,Mandible,1.1,1,NA,N,N,CC,,21-Jul-12
A,SW8,14,UNID,Humerus,3,2,NA,N,N,CC,,21-Jul-12
A,SW8,14,UNID,Rib,0,1,NA,N,N,CC,,21-Jul-12
A,SW8,14,UNID,Tibia,1.6,1,NA,N,N,CC,,21-Jul-12
A,SW8,14,Atherurus macrourus,Maxilla,1.5,1,NA,N,N,CC,,21-Jul-12
A,SW8,14,UNID,Unknown,22.3,32,NA,N,N,CC,,21-Jul-12
A,SW8,14,UNID,Unknown,19.8,29,NA,B,N,CC,,21-Jul-12
A,SW8,14,UNID,Scapula,1.9,3,NA,B,N,CC,,21-Jul-12
A,SW8,14,UNID,Rib,0.3,1,NA,B,N,CC,,21-Jul-12
A,SW8,14,UNID,Vertebra,5.2,8,NA,B,N,CC,,21-Jul-12
A,SW8,14,UNID,Humerus,4.1,2,NA,B,N,CC,,21-Jul-12
A,SW8,14,UNID,Radius,0.5,1,NA,B,N,CC,,21-Jul-12
A,SW8,14,UNID,Tibia,0.7,2,NA,B,N,CC,,21-Jul-12
A,SW8,14,UNID,Femur,3.6,4,NA,B,N,CC,,21-Jul-12
A,SW8,14,UNID,Vertebra,0.6,1,NA,B,N,CC,,21-Jul-12
A,SW8,14,Chelonians ,Carapace,10.3,13,NA,B ,N,CC,,21-Jul-12
Trench ,Unit,Context,Taxon,Element,Mass (g),Count,L/W,Burnt/Not Burnt,Cutmark/No Cutmark,Recorder,NOTES,Date
A,SW8,15,UNID,Vertebra,1.3,1,NA,N,N,CC,,21-Jul-12
A,SW8,15,UNID,Tibia,1.1,1,NA,N,N,CC,,21-Jul-12
A,SW8,15,UNID,Pubis,1.5,1,NA,N,N,CC,,21-Jul-12
A,SW8,15,Chelonians ,Carapace,1.2,1,NA,N,N,CC,,21-Jul-12
A,SW8,15,UNID,Phalanx,0.4,1,NA,N,N,CC,,21-Jul-12
A,SW8,15,UNID,Unknown,2.2,3,NA,N,N,CC,,21-Jul-12
A,SW8,15,UNID,Unknown,9.3,16,NA,B,N,CC,,21-Jul-12
Trench ,Unit,Context,Taxon,Element,Mass (g),Count,L/W,Burnt/Not Burnt,Cutmark/No Cutmark,Recorder,NOTES,Date
A,SW9,16,UNID,Rib,2.2,2,NA,N,N,CC,,22-Jul-12
A,SW9,16,Chelonians ,Femur,1.6,1,NA,N,N,CC,,22-Jul-12
A,SW9,16,UNID,Humerus,2.1,2,NA,N,N,CC,,22-Jul-12
A,SW9,16,UNID,Calcaneus,1.4,1,NA,N,N,CC,,22-Jul-12
A,SW9,16,UNID,Vertebra,8.1,3,NA,N,N,CC,,22-Jul-12
