Sample ID,A/S Loc,Date,Time,Initial Sample Wt,Initial Sample Vol,Aliquot Vol.,Diluted To Vol.,Analyst Name,Remarks,Batch ID,Sample Type,Samp Number,Wt Units,Vol Units,Solids Ratio,Sample Prep Vol.,Nominal Wt.,Sample Units,Samp Units Fact.,User Name 1,User Value 1,User Name 2,User Value 2,User Name 3,User Value 3,User Name 4,User Value 4,User Name 5,User Value 5,Result Name,Analyte Name,Date,Time,Elem,Wavelength,Int (Corr),RSD (Corr Int),SD (Corr Int),Conc (Calib),Conc (Samp),Reported Conc (Calib),Reported Conc (Samp),RSD (Conc),SD (Calib),SD (Samp),Calib Units,Samp Units,View,Original Data,Tech,Special Sample Category,Special Calculated Value,Corr Coef,Read Delay,Read Time,Int Time,QC Recovery,Repl No1,Date1,Time1,Int (Net)1,Int (Corr)1,Conc (Calib)1,Conc (Samp)1
Calib Blank 1,1,2/22/2012,9:35:37 AM, , , , , , , ,101,0,g,mL, , , , , , , , , , , , , , , ,Geoarch_WI_12,Cd 228.802,2/22/2012,9:36:53 AM,Cd,228.802,205.5341268, , , , ,[0.00], , , , ,mg/L,mg/L,1,Yes,20, , , ,60,5,5, ,1,2/22/2012,9:36:53 AM,205.5341268,205.5341268, , 
Calib Blank 1,1,2/22/2012,9:35:37 AM, , , , , , , ,101,0,g,mL, , , , , , , , , , , , , , , ,Geoarch_WI_12,Ca 317.933,2/22/2012,9:36:48 AM,Ca,317.933,65431.96779, , , , ,[0.00], , , , ,mg/L,mg/L,1,Yes,20, , , ,60,1,0.2, ,1,2/22/2012,9:36:48 AM,65431.96779,65431.96779, , 
Calib Blank 1,1,2/22/2012,9:35:37 AM, , , , , , , ,101,0,g,mL, , , , , , , , , , , , , , , ,Geoarch_WI_12,Cr 267.716,2/22/2012,9:36:53 AM,Cr,267.716,559.9223383, , , , ,[0.00], , , , ,mg/L,mg/L,1,Yes,20, , , ,60,5,5, ,1,2/22/2012,9:36:53 AM,559.9223383,559.9223383, , 
Calib Blank 1,1,2/22/2012,9:35:37 AM, , , , , , , ,101,0,g,mL, , , , , , , , , , , , , , , ,Geoarch_WI_12,Cu 327.393,2/22/2012,9:36:48 AM,Cu,327.393,-377.6862412, , , , ,[0.00], , , , ,mg/L,mg/L,1,Yes,20, , , ,60,1,0.2, ,1,2/22/2012,9:36:48 AM,-377.6862412,-377.6862412, , 
Calib Blank 1,1,2/22/2012,9:35:37 AM, , , , , , , ,101,0,g,mL, , , , , , , , , , , , , , , ,Geoarch_WI_12,Fe 238.204,2/22/2012,9:36:48 AM,Fe,238.204,47082.18971, , , , ,[0.00], , , , ,mg/L,mg/L,1,Yes,20, , , ,60,1,0.2, ,1,2/22/2012,9:36:48 AM,47082.18971,47082.18971, , 
Calib Blank 1,1,2/22/2012,9:35:37 AM, , , , , , , ,101,0,g,mL, , , , , , , , , , , , , , , ,Geoarch_WI_12,Li 670.784,2/22/2012,9:36:48 AM,Li,670.784,81189.32531, , , , ,[0.00], , , , ,mg/L,mg/L,1,Yes,20, , , ,60,1,0.2, ,1,2/22/2012,9:36:48 AM,81189.32531,81189.32531, , 
Calib Blank 1,1,2/22/2012,9:35:37 AM, , , , , , , ,101,0,g,mL, , , , , , , , , , , , , , , ,Geoarch_WI_12,Pb 220.353,2/22/2012,9:36:53 AM,Pb,220.353,113.6909079, , , , ,[0.00], , , , ,mg/L,mg/L,1,Yes,20, , , ,60,5,5, ,1,2/22/2012,9:36:53 AM,113.6909079,113.6909079, , 
Calib Blank 1,1,2/22/2012,9:35:37 AM, , , , , , , ,101,0,g,mL, , , , , , , , , , , , , , , ,Geoarch_WI_12,Mg 285.213,2/22/2012,9:36:48 AM,Mg,285.213,14888.19628, , , , ,[0.00], , , , ,mg/L,mg/L,1,Yes,20, , , ,60,1,0.2, ,1,2/22/2012,9:36:48 AM,14888.19628,14888.19628, , 
Calib Blank 1,1,2/22/2012,9:35:37 AM, , , , , , , ,101,0,g,mL, , , , , , , , , , , , , , , ,Geoarch_WI_12,Mn 257.610,2/22/2012,9:36:53 AM,Mn,257.61,7601.75868, , , , ,[0.00], , , , ,mg/L,mg/L,1,Yes,20, , , ,60,5,5, ,1,2/22/2012,9:36:53 AM,7601.75868,7601.75868, , 
Calib Blank 1,1,2/22/2012,9:35:37 AM, , , , , , , ,101,0,g,mL, , , , , , , , , , , , , , , ,Geoarch_WI_12,Ni 231.604,2/22/2012,9:36:53 AM,Ni,231.604,206.5606898, , , , ,[0.00], , , , ,mg/L,mg/L,1,Yes,20, , , ,60,5,5, ,1,2/22/2012,9:36:53 AM,206.5606898,206.5606898, , 
Calib Blank 1,1,2/22/2012,9:35:37 AM, , , , , , , ,101,0,g,mL, , , , , , , , , , , , , , , ,Geoarch_WI_12,P 213.617,2/22/2012,9:36:53 AM,P,213.617,126.3151153, , , , ,[0.00], , , , ,mg/L,mg/L,1,Yes,20, , , ,60,5,5, ,1,2/22/2012,9:36:53 AM,126.3151153,126.3151153, , 
Calib Blank 1,1,2/22/2012,9:35:37 AM, , , , , , , ,101,0,g,mL, , , , , , , , , , , , , , , ,Geoarch_WI_12,K 766.490,2/22/2012,9:36:48 AM,K,766.49,29108.82651, , , , ,[0.00], , , , ,mg/L,mg/L,1,Yes,20, , , ,60,1,0.2, ,1,2/22/2012,9:36:48 AM,29108.82651,29108.82651, , 
Calib Blank 1,1,2/22/2012,9:35:37 AM, , , , , , , ,101,0,g,mL, , , , , , , , , , , , , , , ,Geoarch_WI_12,Sc 361.383,2/22/2012,9:36:48 AM,Sc,361.383,58.35381564, , , , ,[0.00], , , , ,mg/L,mg/L,1,Yes,20, , , ,60,1,0.2, ,1,2/22/2012,9:36:48 AM,58.35381564,58.35381564, , 
Calib Blank 1,1,2/22/2012,9:35:37 AM, , , , , , , ,101,0,g,mL, , , , , , , , , , , , , , , ,Geoarch_WI_12,Se 196.026,2/22/2012,9:36:53 AM,Se,196.026,-54.26298565, , , , ,[0.00], , , , ,mg/L,mg/L,1,Yes,20, , , ,60,5,5, ,1,2/22/2012,9:36:53 AM,-54.26298565,-54.26298565, , 
Calib Blank 1,1,2/22/2012,9:35:37 AM, , , , , , , ,101,0,g,mL, , , , , , , , , , , , , , , ,Geoarch_WI_12,Na 589.592,2/22/2012,9:36:46 AM,Na,589.592,188393.3788, , , , ,[0.00], , , , ,mg/L,mg/L,1,Yes,20, , , ,60,1,0.02, ,1,2/22/2012,9:36:46 AM,188393.3788,188393.3788, , 
