Raw measurement data for the geoarchaeological analysis of samples from KTC11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
also at https://docs.google.com/spreadsheets/d/1_a20envyJUBA69NfSyLu0JniVUxnyKzAePUwQFrkS64/edit?pref=2&pli=1#gid=0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pH,Replicate 1 (you need to do this for all of your samples),,,,,,,Replicate 2 (only needed for one of your samples),,,,,,,Replicate 3 (only needed for one of your samples),,,,,,,,,,,,,,,,,,,
Sample ID,measurement 1,minutes from t0,measurement 2,minutes from t0,measurement 3,minutes from t0,mean pH,measurement 1,minutes from t0,measurement 2,minutes from t0,measurement 3,minutes from t0,pH ,measurement 1,minutes from t0,measurement 2,minutes from t0,measurement 3,minutes from t0,pH ,,,,,Sample ID,pH,EC,SOM,CaCO3,Xlf,%fd,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Banda Neira Unit 5 Data,,,,,,,,,,,,,,Repeat #2 for Sample 4 (BN1-5-4),,,,,,,,,,Repeat #3 for Sample 4 (BN1-5-4),,,,,,,,,,
pH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample #,measurement 1,minutes from t0,measurement 2,minutes from t0,measurement 3,minutes from t0,measurement 4,minutes from t0,measurement 5,minutes from t0,mean pH,measurement 1,minutes from t0,measurement 2,minutes from t0,measurement 3,minutes from t0,measurement 4,minutes from t0,measurement 5,minutes from t0,average pH,,measurement 1,minutes from t0,measurement 2,minutes from t0,measurement 3,minutes from t0,measurement 4,minutes from t0,measurement 5,minutes from t0,average pH
BN1-5-1,7.1,69,7.1,69,7.5,70,7.6,70,7.6,70,7.38,,,,,,,,,,,,,,,,,,,,,,,
BN1-5-2,7.9,70,7.8,70,7.9,71,N/A,N/A,N/A,N/A,7.866666667,,,,,,,,,,,,,,,,,,,,,,,
BN1-5-3,7.7,70,7.6,70,7.6,71,N/A,N/A,N/A,N/A,7.633333333,,,,,,,,,,,,,,,,,,,,,,,
BN1-5-4,7.3,71,7,71,6.9,72,6.9,72,N/A,N/A,7.025,7.5,73,6.8,73,7.2,73,6.8,73,6.8,73,7.02,,7.2,75,7,75,6.9,76,6.9,76,N/A,N/A,7
BN1-5-5,6.8,75,6.8,75,6.9,76,N/A,N/A,N/A,N/A,6.833333333,,,,,,,,,,,,,,,,,,,,,,,
BN1-5-6,6.5,76,6.6,76,6.6,76,N/A,N/A,N/A,N/A,6.567,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electrical Conductivity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
