Trench ,Unit,Context,Taxon,Element,Mass (g),Count,Max L/W mm,Burnt/Not Burnt,Cutmark/No Cutmark,Recorder,NOTES,Date
A,SW8,15,F. Amblemididae ,Bivalve,0.5,1,NA,N,N,CC,,12-Jul-12
A,SW8,15,Unknown,Bivalve,2.3,3,NA,N,N,HVV,,12-Jul-12
Trench ,Unit,Context,Taxon,Element,Mass (g),Count,Max L/W mm,Burnt/Not Burnt,Cutmark/No Cutmark,Recorder,NOTES ,Date
A,SW10,16,F. Potamididae,Gastropod,57.3,52,NA,N,N,HVV,,12-Jul-12
A,SW10,16,F. Amblemididae ,Bivalve,49.5,11,NA,N,N,HVV,,12-Jul-12
A,SW10,16,Unknown,Gastropod,31.9,77,NA,N,N,HVV,,12-Jul-12
A,SW10,16,Unknown,Bivalve,35.8,47,NA,N,N,HVV,,12-Jul-12
A,SW10,16,F. Cyclophoridae,Gastropod,26.4,11,NA,N,N,HVV,,12-Jul-12
A,SW10,16,F. Potamididae Telescopium telescopium,Gastropod,1.9,1,NA,N,N,HVV,,12-Jul-12
A,SW10,16,BiB,Bivalve,2.7,1,NA,N,N,HVV,,12-Jul-12
A,SW10,16,F. Cyclophoridae Rhiostoma housei,Gastropod,4.2,4,NA,N,N,HVV,,12-Jul-12
A,SW10,16,BiD,Bivalve,20.8,1,NA,N,N,HVV,F-100-0221 B-100-0222,12-Jul-12
A,SW10,16,F. Ampullariidae sp.,Gastropod,0.8,1,NA,N,N,HVV,F-100-0217 B-100-0218,12-Jul-12
A,SW10,16,Gastropoda Operculum,Gastropod,0.3,1,19.13,N,N,HVV,F-100-0219 B-100-0220 (Operculum),12-Jul-12
Trench ,Unit,Context,Taxon,Element,Mass (g),Count,Max L/W mm,Burnt/Not Burnt,Cutmark/No Cutmark,Recorder,NOTES ,Date
A,SW11,17,F. Potamididae,Gastropod,144.6,137,NA,N,N,CC,,13-Jul-12
A,SW11,17,F. Cyclophoridae Cyclophorus sp.,Gastropod,13.4,7,NA,N,N,CC,,13-Jul-12
